Player,Pos,Team,Selection_Type,Conference,Year
Dennis Johnson,PG,Boston Celtics,Eastern All-Star Coaches Selection,East,1984-1985
Michael Jordan,SG,Chicago Bulls,Eastern All-Star Fan Vote Selection,East,1984-1985
Bernard King,SF,New York Knicks,Eastern All-Star Coaches Selection,East,1984-1985
Bill Laimbeer,C,Detroit Pistons,Eastern All-Star Coaches Selection,East,1984-1985
Moses Malone,C,Philadelphia 76ers,Eastern All-Star Fan Vote Selection,East,1984-1985
Sidney Moncrief,SG,Milwaukee Bucks,Eastern All-Star Coaches Selection,East,1984-1985
Robert Parish,C,Boston Celtics,Eastern All-Star Coaches Selection,East,1984-1985
Micheal Ray Richardson,PG,New Jersey Nets,Eastern All-Star Coaches Selection,East,1984-1985
Isiah Thomas,PG,Detroit Pistons,Eastern All-Star Fan Vote Selection,East,1984-1985
Larry Bird,SF,Boston Celtics,Eastern All-Star Fan Vote Selection,East,1983-1984
Otis Birdsong,SF,New Jersey Nets,Eastern All-Star Coaches Selection,East,1983-1984
Julius Erving,SF,Philadelphia 76ers,Eastern All-Star Fan Vote Selection,East,1983-1984
Bernard King,SF,New York Knicks,Eastern All-Star Coaches Selection,East,1983-1984
Bill Laimbeer,C,Detroit Pistons,Eastern All-Star Replacement Selection,East,1983-1984
Moses Malone,C,Philadelphia 76ers,Eastern All-Star Fan Vote Selection,East,1983-1984
Kevin McHale,PF,Boston Celtics,Eastern All-Star Coaches Selection,East,1983-1984
Sidney Moncrief,SG,Milwaukee Bucks,Eastern All-Star Fan Vote Selection,East,1983-1984
Robert Parish,C,Boston Celtics,Eastern All-Star Coaches Selection,East,1983-1984
Jeff Ruland,C,Washington Bullets,Eastern All-Star Coaches Selection,East,1983-1984
Isiah Thomas,PG,Detroit Pistons,Eastern All-Star Fan Vote Selection,East,1983-1984
Andrew Toney,SG,Philadelphia 76ers,Eastern All-Star Coaches Selection,East,1983-1984
Kelly Tripucka,SF,Detroit Pistons,Eastern All-Star Coaches Selection,East,1983-1984
Kareem Abdul-Jabbar,C,Los Angeles Lakers,Western All-Star Fan Vote Selection,West,1983-1984
Mark Aguirre,SF,Dallas Mavericks,Western All-Star Coaches Selection,West,1983-1984
Adrian Dantley,SF,Utah Jazz,Western All-Star Fan Vote Selection,West,1983-1984
Walter Davis,SF,Phoenix Suns,Western All-Star Coaches Selection,West,1983-1984
Alex English,SF,Denver Nuggets,Western All-Star Fan Vote Selection,West,1983-1984
George Gervin,SF,San Antonio Spurs,Western All-Star Fan Vote Selection,West,1983-1984
Rickey Green,PG,Utah Jazz,Western All-Star Coaches Selection,West,1983-1984
Magic Johnson,PG,Los Angeles Lakers,Western All-Star Fan Vote Selection,West,1983-1984
Jim Paxson,SG,Portland Trail Blazers,Western All-Star Coaches Selection,West,1983-1984
Ralph Sampson,C,Houston Rockets,Western All-Star Coaches Selection,West,1983-1984
Jack Sikma,C,Seattle Supersonics,Western All-Star Coaches Selection,West,1983-1984
Kiki Vandeweghe,SF,Denver Nuggets,Western All-Star Coaches Selection,West,1983-1984
Larry Bird,SF,Boston Celtics,Eastern All-Star Fan Vote Selection,East,1982-1983
Mo Cheeks,PG,Philadelphia 76ers,Eastern All-Star Fan Vote Selection,East,1982-1983
Julius Erving,SF,Philadelphia 76ers,Eastern All-Star Fan Vote Selection,East,1982-1983
Marques Johnson,SF,Milwaukee Bucks,Eastern All-Star Coaches Selection,East,1982-1983
Bill Laimbeer,C,Detroit Pistons,Eastern All-Star Coaches Selection,East,1982-1983
Moses Malone,C,Philadelphia 76ers,Eastern All-Star Fan Vote Selection,East,1982-1983
Sidney Moncrief,SG,Milwaukee Bucks,Eastern All-Star Coaches Selection,East,1982-1983
Robert Parish,C,Boston Celtics,Eastern All-Star Coaches Selection,East,1982-1983
Reggie Theus,SF,Chicago Bulls,Eastern All-Star Coaches Selection,East,1982-1983
Isiah Thomas,PG,Detroit Pistons,Eastern All-Star Fan Vote Selection,East,1982-1983
Andrew Toney,SG,Philadelphia 76ers,Eastern All-Star Coaches Selection,East,1982-1983
Buck Williams,PF,New Jersey Nets,Eastern All-Star Coaches Selection,East,1982-1983
Kareem Abdul-Jabbar,C,Los Angeles Lakers,Western All-Star Fan Vote Selection,West,1982-1983
Alex English,SF,Denver Nuggets,Western All-Star Fan Vote Selection,West,1982-1983
George Gervin,SF,San Antonio Spurs,Western All-Star Coaches Selection,West,1982-1983
Artis Gilmore,C,San Antonio Spurs,Western All-Star Coaches Selection,West,1982-1983
Magic Johnson,PG,Los Angeles Lakers,Western All-Star Fan Vote Selection,West,1982-1983
Maurice Lucas,PF,Phoenix Suns,Western All-Star Fan Vote Selection,West,1982-1983
Jim Paxson,SG,Portland Trail Blazers,Western All-Star Coaches Selection,West,1982-1983
Jack Sikma,C,Seattle Supersonics,Western All-Star Coaches Selection,West,1982-1983
David Thompson,SF,Seattle Supersonics,Western All-Star Fan Vote Selection,West,1982-1983
Kiki Vandeweghe,SF,Denver Nuggets,Western All-Star Coaches Selection,West,1982-1983
Jamaal Wilkes,SF,Los Angeles Lakers,Western All-Star Coaches Selection,West,1982-1983
Gus Williams,SG,Seattle Supersonics,Western All-Star Coaches Selection,West,1982-1983
Kareem Abdul-Jabbar,C,Los Angeles Lakers,Western All-Star Fan Vote Selection,West,1981-1982
Adrian Dantley,SF,Utah Jazz,Western All-Star Fan Vote Selection,West,1981-1982
Alex English,SF,Denver Nuggets,Western All-Star Coaches Selection,West,1981-1982
George Gervin,SF,San Antonio Spurs,Western All-Star Fan Vote Selection,West,1981-1982
Dennis Johnson,PG,Phoenix Suns,Western All-Star Coaches Selection,West,1981-1982
Magic Johnson,PG,Los Angeles Lakers,Western All-Star Coaches Selection,West,1981-1982
Bernard King,SF,Golden State Warriors,Western All-Star Coaches Selection,West,1981-1982
Moses Malone,C,Houston Rockets,Western All-Star Coaches Selection,West,1981-1982
Norm Nixon,SG,Los Angeles Lakers,Western All-Star Coaches Selection,West,1981-1982
Lonnie Shelton,PF,Seattle Supersonics,Western All-Star Fan Vote Selection,West,1981-1982
Jack Sikma,C,Seattle Supersonics,Western All-Star Coaches Selection,West,1981-1982
Gus Williams,SG,Seattle Supersonics,Western All-Star Fan Vote Selection,West,1981-1982
Tiny Archibald,PG,Boston Celtics,Eastern All-Star Fan Vote Selection,East,1981-1982
Larry Bird,SF,Boston Celtics,Eastern All-Star Fan Vote Selection,East,1981-1982
Julius Erving,SF,Philadelphia 76ers,Eastern All-Star Fan Vote Selection,East,1981-1982
Artis Gilmore,C,Chicago Bulls,Eastern All-Star Fan Vote Selection,East,1981-1982
Bobby Jones,SF,Philadelphia 76ers,Eastern All-Star Coaches Selection,East,1981-1982
Bob Lanier,C,Milwaukee Bucks,Eastern All-Star Coaches Selection,East,1981-1982
Sidney Moncrief,SG,Milwaukee Bucks,Eastern All-Star Coaches Selection,East,1981-1982
Robert Parish,C,Boston Celtics,Eastern All-Star Coaches Selection,East,1981-1982
Micheal Ray Richardson,PG,New York Knicks,Eastern All-Star Coaches Selection,East,1981-1982
Dan Roundfield,PF,Atlanta Hawks,Eastern All-Star Coaches Selection,East,1981-1982
Isiah Thomas,PG,Detroit Pistons,Eastern All-Star Fan Vote Selection,East,1981-1982
Kelly Tripucka,SF,Detroit Pistons,Eastern All-Star Coaches Selection,East,1981-1982
Buck Williams,PF,New Jersey Nets,Eastern All-Star Coaches Selection,East,1981-1982
Kareem Abdul-Jabbar,C,Los Angeles Lakers,Western All-Star Fan Vote Selection,West,1980-1981
Otis Birdsong,SF,Kansas City Kings,Western All-Star Coaches Selection,West,1980-1981
Adrian Dantley,SF,Utah Jazz,Western All-Star Fan Vote Selection,West,1980-1981
Walter Davis,SF,Phoenix Suns,Western All-Star Fan Vote Selection,West,1980-1981
George Gervin,SF,San Antonio Spurs,Western All-Star Fan Vote Selection,West,1980-1981
Dennis Johnson,PG,Phoenix Suns,Western All-Star Coaches Selection,West,1980-1981
Moses Malone,C,Houston Rockets,Western All-Star Coaches Selection,West,1980-1981
Truck Robinson,PF,Phoenix Suns,Western All-Star Coaches Selection,West,1980-1981
Jack Sikma,C,Seattle Supersonics,Western All-Star Coaches Selection,West,1980-1981
Paul Westphal,SG,Seattle Supersonics,Western All-Star Fan Vote Selection,West,1980-1981
Jamaal Wilkes,SF,Los Angeles Lakers,Western All-Star Coaches Selection,West,1980-1981
Tiny Archibald,PG,Boston Celtics,Eastern All-Star Coaches Selection,East,1980-1981
Larry Bird,SF,Boston Celtics,Eastern All-Star Coaches Selection,East,1980-1981
Julius Erving,SF,Philadelphia 76ers,Eastern All-Star Fan Vote Selection,East,1980-1981
Artis Gilmore,C,Chicago Bulls,Eastern All-Star Fan Vote Selection,East,1980-1981
"Eddie Johnson, Jr.",SG,Atlanta Hawks,Eastern All-Star Fan Vote Selection,East,1980-1981
Marques Johnson,SF,Milwaukee Bucks,Eastern All-Star Coaches Selection,East,1980-1981
Bobby Jones,SF,Philadelphia 76ers,Eastern All-Star Coaches Selection,East,1980-1981
Mike Mitchell,PF,Cleveland Cavaliers,Eastern All-Star Coaches Selection,East,1980-1981
Robert Parish,C,Boston Celtics,Eastern All-Star Coaches Selection,East,1980-1981
Micheal Ray Richardson,PG,New York Knicks,Eastern All-Star Coaches Selection,East,1980-1981
Dan Roundfield,PF,Atlanta Hawks,Eastern All-Star Fan Vote Selection,East,1980-1981
Reggie Theus,SF,Chicago Bulls,Eastern All-Star Fan Vote Selection,East,1980-1981
Tiny Archibald,PG,Boston Celtics,Eastern All-Star Coaches Selection,East,1979-1980
Larry Bird,SF,Boston Celtics,Eastern All-Star Coaches Selection,East,1979-1980
Bill Cartwright,C,New York Knicks,Eastern All-Star Coaches Selection,East,1979-1980
Dave Cowens,PF,Boston Celtics,Eastern All-Star Coaches Selection,East,1979-1980
John Drew,SF,Atlanta Hawks,Eastern All-Star Fan Vote Selection,East,1979-1980
Julius Erving,SF,Philadelphia 76ers,Eastern All-Star Fan Vote Selection,East,1979-1980
George Gervin,SF,San Antonio Spurs,Eastern All-Star Fan Vote Selection,East,1979-1980
Elvin Hayes,PF,Washington Bullets,Eastern All-Star Coaches Selection,East,1979-1980
"Eddie Johnson, Jr.",SG,Atlanta Hawks,Eastern All-Star Fan Vote Selection,East,1979-1980
Moses Malone,C,Houston Rockets,Eastern All-Star Fan Vote Selection,East,1979-1980
Micheal Ray Richardson,PG,New York Knicks,Eastern All-Star Coaches Selection,East,1979-1980
Dan Roundfield,PF,Atlanta Hawks,Eastern All-Star Coaches Selection,East,1979-1980
Kareem Abdul-Jabbar,C,Los Angeles Lakers,Western All-Star Fan Vote Selection,West,1979-1980
Otis Birdsong,SF,Kansas City Kings,Western All-Star Coaches Selection,West,1979-1980
Adrian Dantley,SF,Utah Jazz,Western All-Star Fan Vote Selection,West,1979-1980
Walter Davis,SF,Phoenix Suns,Western All-Star Coaches Selection,West,1979-1980
World B. Free,SG,San Diego Clippers,Western All-Star Fan Vote Selection,West,1979-1980
Dennis Johnson,PG,Seattle SuperSonics,Western All-Star Coaches Selection,West,1979-1980
Magic Johnson,PG,Los Angeles Lakers,Western All-Star Fan Vote Selection,West,1979-1980
Marques Johnson,SF,Milwaukee Bucks,Western All-Star Fan Vote Selection,West,1979-1980
Jack Sikma,C,Seattle Supersonics,Western All-Star Coaches Selection,West,1979-1980
Kermit Washington,PF,Portland Trail Blazers,Western All-Star Coaches Selection,West,1979-1980
Scott Wedman,SF,Kansas City Kings,Western All-Star Coaches Selection,West,1979-1980
Paul Westphal,SG,Phoenix Suns,Western All-Star Coaches Selection,West,1979-1980
Kareem Abdul-Jabbar,C,Los Angeles Lakers,Western All-Star Fan Vote Selection,West,1978-1979
Otis Birdsong,SF,Kansas City Kings,Western All-Star Coaches Selection,West,1978-1979
Walter Davis,SF,Phoenix Suns,Western All-Star Coaches Selection,West,1978-1979
Artis Gilmore,C,Chicago Bulls,Western All-Star Coaches Selection,West,1978-1979
Dennis Johnson,PG,Seattle Supersonics,Western All-Star Coaches Selection,West,1978-1979
Marques Johnson,SF,Milwaukee Bucks,Western All-Star Fan Vote Selection,West,1978-1979
Maurice Lucas,PF,Portland Trail Blazers,Western All-Star Coaches Selection,West,1978-1979
George McGinnis,PF,Denver Nuggets,Western All-Star Fan Vote Selection,West,1978-1979
Jack Sikma,C,Seattle Supersonics,Western All-Star Coaches Selection,West,1978-1979
David Thompson,SF,Denver Nuggets,Western All-Star Fan Vote Selection,West,1978-1979
Paul Westphal,SG,Phoenix Suns,Western All-Star Fan Vote Selection,West,1978-1979
Doug Collins,SF,Philadelphia 76ers,Eastern All-Star Coaches Selection,East,1978-1979
Bob Dandridge,SF,Washington Bullets,Eastern All-Star Coaches Selection,East,1978-1979
Julius Erving,SF,Philadelphia 76ers,Eastern All-Star Fan Vote Selection,East,1978-1979
George Gervin,SF,San Antonio Spurs,Eastern All-Star Fan Vote Selection,East,1978-1979
Elvin Hayes,PF,Washington Bullets,Eastern All-Star Coaches Selection,East,1978-1979
Larry Kenon,PF,San Antonio Spurs,Eastern All-Star Coaches Selection,East,1978-1979
Bob Lanier,C,Detroit Pistons,Eastern All-Star Coaches Selection,East,1978-1979
Moses Malone,C,Houston Rockets,Eastern All-Star Fan Vote Selection,East,1978-1979
Pete Maravich,SF,New Orleans Jazz,Eastern All-Star Fan Vote Selection,East,1978-1979
Calvin Murphy,PG,Houston Rockets,Eastern All-Star Coaches Selection,East,1978-1979
Campy Russell,PF,Cleveland Cavaliers,Eastern All-Star Coaches Selection,East,1978-1979
Rudy Tomjanovich,PF,Houston Rockets,Eastern All-Star Fan Vote Selection,East,1978-1979
Rick Barry,PF,Golden State Warriors,Western All-Star Fan Vote Selection,West,1977-1978
Walter Davis,SF,Phoenix Suns,Western All-Star Coaches Selection,West,1977-1978
Artis Gilmore,C,Chicago Bulls,Western All-Star Coaches Selection,West,1977-1978
Lionel Hollins,SG,Portland Trail Blazers,Western All-Star Coaches Selection,West,1977-1978
Bobby Jones,SF,Denver Nuggets,Western All-Star Coaches Selection,West,1977-1978
Bob Lanier,C,Detroit Pistons,Western All-Star Coaches Selection,West,1977-1978
Maurice Lucas,PF,Portland Trail Blazers,Western All-Star Fan Vote Selection,West,1977-1978
David Thompson,SF,Denver Nuggets,Western All-Star Fan Vote Selection,West,1977-1978
Bill Walton,C,Portland Trail Blazers,Western All-Star Fan Vote Selection,West,1977-1978
Paul Westphal,SG,Phoenix Suns,Western All-Star Fan Vote Selection,West,1977-1978
Brian Winters,SF,Milwaukee Bucks,Western All-Star Coaches Selection,West,1977-1978
Doug Collins,SF,Philadelphia 76ers,Eastern All-Star Coaches Selection,East,1977-1978
Dave Cowens,PF,Boston Celtics,Eastern All-Star Fan Vote Selection,East,1977-1978
Julius Erving,SF,Philadelphia 76ers,Eastern All-Star Fan Vote Selection,East,1977-1978
George Gervin,SF,San Antonio Spurs,Eastern All-Star Fan Vote Selection,East,1977-1978
John Havlicek,SF,Boston Celtics,Eastern All-Star Coaches Selection,East,1977-1978
Elvin Hayes,PF,Washington Bullets,Eastern All-Star Coaches Selection,East,1977-1978
Larry Kenon,PF,San Antonio Spurs,Eastern All-Star Fan Vote Selection,East,1977-1978
Moses Malone,C,Houston Rockets,Eastern All-Star Coaches Selection,East,1977-1978
Pete Maravich,SF,New Orleans Jazz,Eastern All-Star Fan Vote Selection,East,1977-1978
Bob McAdoo,PF,New York Knicks,Eastern All-Star Coaches Selection,East,1977-1978
Truck Robinson,PF,New Orleans Jazz,Eastern All-Star Coaches Selection,East,1977-1978
Randy Smith,SF,Buffalo Braves,Eastern All-Star Coaches Selection,East,1977-1978
Kareem Abdul-Jabbar,C,Los Angeles Lakers,Western All-Star Coaches Selection,West,1976-1977
Rick Barry,PF,Golden State Warriors,Western All-Star Coaches Selection,West,1976-1977
Don Buse,SG,Indiana Pacers,Western All-Star Coaches Selection,West,1976-1977
Dan Issel,PF,Denver Nuggets,Western All-Star Fan Vote Selection,West,1976-1977
Bobby Jones,SF,Denver Nuggets,Western All-Star Fan Vote Selection,West,1976-1977
Billy Knight,SF,Indiana Pacers,Western All-Star Coaches Selection,West,1976-1977
Bob Lanier,C,Detroit Pistons,Western All-Star Coaches Selection,West,1976-1977
Maurice Lucas,PF,Portland Trail Blazers,Western All-Star Coaches Selection,West,1976-1977
Phil Smith,SG,Golden State Warriors,Western All-Star Coaches Selection,West,1976-1977
David Thompson,SF,Denver Nuggets,Western All-Star Fan Vote Selection,West,1976-1977
Norm Van Lier,PG,Chicago Bulls,Western All-Star Fan Vote Selection,West,1976-1977
Bill Walton,C,Portland Trail Blazers,Western All-Star Coaches Selection,West,1976-1977
Paul Westphal,SG,Phoenix Suns,Western All-Star Fan Vote Selection,West,1976-1977
Phil Chenier,PG,Washington Bullets,Eastern All-Star Coaches Selection,East,1976-1977
Doug Collins,SF,Philadelphia 76ers,Eastern All-Star Fan Vote Selection,East,1976-1977
Dave Cowens,PF,Boston Celtics,Eastern All-Star Coaches Selection,East,1976-1977
Julius Erving,SF,Philadelphia 76ers,Eastern All-Star Fan Vote Selection,East,1976-1977
George Gervin,SF,San Antonio Spurs,Eastern All-Star Coaches Selection,East,1976-1977
John Havlicek,SF,Boston Celtics,Eastern All-Star Coaches Selection,East,1976-1977
Elvin Hayes,PF,Washington Bullets,Eastern All-Star Coaches Selection,East,1976-1977
Pete Maravich,SF,New Orleans Jazz,Eastern All-Star Fan Vote Selection,East,1976-1977
Bob McAdoo,PF,New York Knicks,Eastern All-Star Fan Vote Selection,East,1976-1977
George McGinnis,PF,Philadelphia 76ers,Eastern All-Star Fan Vote Selection,East,1976-1977
Earl Monroe,SG,New York Knicks,Eastern All-Star Coaches Selection,East,1976-1977
Rudy Tomjanovich,PF,Houston Rockets,Eastern All-Star Coaches Selection,East,1976-1977
Jo Jo White,SG,Boston Celtics,Eastern All-Star Coaches Selection,East,1976-1977
Kareem Abdul-Jabbar,C,Los Angeles Lakers,Western All-Star Fan Vote Selection,West,1975-1976
Alvan Adams,PF,Phoenix Suns,Western All-Star Coaches Selection,West,1975-1976
Tiny Archibald,PG,Kansas City Kings,Western All-Star Fan Vote Selection,West,1975-1976
Rick Barry,PF,Golden State Warriors,Western All-Star Fan Vote Selection,West,1975-1976
Fred Brown,SG,Seattle Supersonics,Western All-Star Coaches Selection,West,1975-1976
Bob Dandridge,SF,Milwaukee Bucks,Western All-Star Fan Vote Selection,West,1975-1976
Curtis Rowe,PF,Detroit Pistons,Western All-Star Coaches Selection,West,1975-1976
Phil Smith,SG,Golden State Warriors,Western All-Star Coaches Selection,West,1975-1976
Norm Van Lier,PG,Chicago Bulls,Western All-Star Coaches Selection,West,1975-1976
Scott Wedman,SF,Kansas City Kings,Western All-Star Coaches Selection,West,1975-1976
Jamaal Wilkes,SF,Golden State Warriors,Western All-Star Coaches Selection,West,1975-1976
Brian Winters,SF,Milwaukee Bucks,Western All-Star Fan Vote Selection,West,1975-1976
Dave Bing,SG,Washington Bullets,Eastern All-Star Fan Vote Selection,East,1975-1976
Doug Collins,SF,Philadelphia 76ers,Eastern All-Star Coaches Selection,East,1975-1976
Dave Cowens,PF,Boston Celtics,Eastern All-Star Coaches Selection,East,1975-1976
John Drew,SF,Atlanta Hawks,Eastern All-Star Coaches Selection,East,1975-1976
Walt Frazier,PG,New York Knicks,Eastern All-Star Fan Vote Selection,East,1975-1976
John Havlicek,SF,Boston Celtics,Eastern All-Star Fan Vote Selection,East,1975-1976
Elvin Hayes,PF,Washington Bullets,Eastern All-Star Fan Vote Selection,East,1975-1976
Bob McAdoo,PF,Buffalo Braves,Eastern All-Star Fan Vote Selection,East,1975-1976
George McGinnis,PF,Philadelphia 76ers,Eastern All-Star Coaches Selection,East,1975-1976
Randy Smith,SF,Buffalo Braves,Eastern All-Star Coaches Selection,East,1975-1976
Rudy Tomjanovich,PF,Houston Rockets,Eastern All-Star Coaches Selection,East,1975-1976
Jo Jo White,SG,Boston Celtics,Eastern All-Star Coaches Selection,East,1975-1976
Kareem Abdul-Jabbar,C,Milwaukee Bucks,Western All-Star Fan Vote Selection,West,1974-1975
Tiny Archibald,PG,Kansas City Kings,Western All-Star Fan Vote Selection,West,1974-1975
Rick Barry,PF,Golden State Warriors,Western All-Star Fan Vote Selection,West,1974-1975
Dave Bing,SG,Detroit Pistons,Western All-Star Coaches Selection,West,1974-1975
Bob Dandridge,SF,Milwaukee Bucks,Western All-Star Coaches Selection,West,1974-1975
Gail Goodrich,SG,Los Angeles Lakers,Western All-Star Fan Vote Selection,West,1974-1975
Spencer Haywood,PF,Seattle Supersonics,Western All-Star Fan Vote Selection,West,1974-1975
Sam Lacey,C,Sacramento Kings,Western All-Star Coaches Selection,West,1974-1975
Bob Lanier,C,Detroit Pistons,Western All-Star Coaches Selection,West,1974-1975
Jim Price,SG,Milwaukee Bucks,Western All-Star Coaches Selection,West,1974-1975
Charlie Scott,SG,Phoenix Suns,Western All-Star Coaches Selection,West,1974-1975
Sidney Wicks,PF,Portland Trail Blazers,Western All-Star Coaches Selection,West,1974-1975
Phil Chenier,PG,Washington Bullets,Eastern All-Star Coaches Selection,East,1974-1975
Dave Cowens,PF,Boston Celtics,Eastern All-Star Coaches Selection,East,1974-1975
Walt Frazier,PG,New York Knicks,Eastern All-Star Fan Vote Selection,East,1974-1975
John Havlicek,SF,Boston Celtics,Eastern All-Star Fan Vote Selection,East,1974-1975
Elvin Hayes,PF,Washington Bullets,Eastern All-Star Fan Vote Selection,East,1974-1975
Bob McAdoo,PF,Buffalo Braves,Eastern All-Star Fan Vote Selection,East,1974-1975
Steve Mix,PF,Philadelphia 76ers,Eastern All-Star Coaches Selection,East,1974-1975
Earl Monroe,SG,New York Knicks,Eastern All-Star Fan Vote Selection,East,1974-1975
Paul Silas,PF,Boston Celtics,Eastern All-Star Coaches Selection,East,1974-1975
Rudy Tomjanovich,PF,Houston Rockets,Eastern All-Star Coaches Selection,East,1974-1975
Wes Unseld,PF,Washington Bullets,Eastern All-Star Coaches Selection,East,1974-1975
Jo Jo White,SG,Boston Celtics,Eastern All-Star Coaches Selection,East,1974-1975
Kareem Abdul-Jabbar,C,Milwaukee Bucks,Western All-Star Fan Vote Selection,West,1973-1974
Rick Barry,PF,Golden State Warriors,Western All-Star Fan Vote Selection,West,1973-1974
Dave Bing,SG,Detroit Pistons,Western All-Star Coaches Selection,West,1973-1974
Gail Goodrich,SG,Los Angeles Lakers,Western All-Star Fan Vote Selection,West,1973-1974
Spencer Haywood,PF,Seattle Supersonics,Western All-Star Coaches Selection,West,1973-1974
Bob Lanier,C,Detroit Pistons,Western All-Star Coaches Selection,West,1973-1974
Geoff Petrie,SG,Portland Trail Blazers,Western All-Star Fan Vote Selection,West,1973-1974
Charlie Scott,SG,Phoenix Suns,Western All-Star Coaches Selection,West,1973-1974
Nate Thurmond,PF,Golden State Warriors,Western All-Star Coaches Selection,West,1973-1974
Norm Van Lier,PG,Chicago Bulls,Western All-Star Coaches Selection,West,1973-1974
Chet Walker,PF,Chicago Bulls,Western All-Star Fan Vote Selection,West,1973-1974
Jerry West,SG,Los Angeles Lakers,Western All-Star Coaches Selection,West,1973-1974
Sidney Wicks,PF,Portland Trail Blazers,Western All-Star Coaches Selection,West,1973-1974
Austin Carr,SG,Cleveland Cavaliers,Eastern All-Star Coaches Selection,East,1973-1974
Phil Chenier,PG,Capital Bullets,Eastern All-Star Coaches Selection,East,1973-1974
Dave Cowens,PF,Boston Celtics,Eastern All-Star Fan Vote Selection,East,1973-1974
Dave DeBusschere,PF,New York Knicks,Eastern All-Star Coaches Selection,East,1973-1974
Walt Frazier,PG,New York Knicks,Eastern All-Star Fan Vote Selection,East,1973-1974
John Havlicek,SF,Boston Celtics,Eastern All-Star Fan Vote Selection,East,1973-1974
Elvin Hayes,PF,Capital Bullets,Eastern All-Star Coaches Selection,East,1973-1974
Lou Hudson,SF,Atlanta Hawks,Eastern All-Star Fan Vote Selection,East,1973-1974
Pete Maravich,SF,Atlanta Hawks,Eastern All-Star Fan Vote Selection,East,1973-1974
Bob McAdoo,PF,Buffalo Braves,Eastern All-Star Coaches Selection,East,1973-1974
Rudy Tomjanovich,PF,Houston Rockets,Eastern All-Star Coaches Selection,East,1973-1974
Jo Jo White,SG,Boston Celtics,Eastern All-Star Coaches Selection,East,1973-1974
John Block,PF,Philadelphia 76ers,Eastern All-Star Coaches Selection,East,1972-1973
Bill Bradley,SF,New York Knicks,Eastern All-Star Coaches Selection,East,1972-1973
Dave Cowens,PF,Boston Celtics,Eastern All-Star Fan Vote Selection,East,1972-1973
Dave DeBusschere,PF,New York Knicks,Eastern All-Star Fan Vote Selection,East,1972-1973
Walt Frazier,PG,New York Knicks,Eastern All-Star Fan Vote Selection,East,1972-1973
John Havlicek,SF,Boston Celtics,Eastern All-Star Fan Vote Selection,East,1972-1973
Elvin Hayes,PF,Baltimore Bullets,Eastern All-Star Coaches Selection,East,1972-1973
Lou Hudson,SF,Atlanta Hawks,Eastern All-Star Coaches Selection,East,1972-1973
Bob Kauffman,PF,Buffalo Braves,Eastern All-Star Coaches Selection,East,1972-1973
Pete Maravich,SF,Atlanta Hawks,Eastern All-Star Fan Vote Selection,East,1972-1973
Jack Marin,SF,Houston Rockets,Eastern All-Star Coaches Selection,East,1972-1973
Wes Unseld,PF,Baltimore Bullets,Eastern All-Star Coaches Selection,East,1972-1973
Jo Jo White,SG,Boston Celtics,Eastern All-Star Coaches Selection,East,1972-1973
Lenny Wilkens,PG,Cleveland Cavaliers,Eastern All-Star Coaches Selection,East,1972-1973
Kareem Abdul-Jabbar,C,Milwaukee Bucks,Western All-Star Fan Vote Selection,West,1972-1973
Tiny Archibald,PG,Sacramento Kings,Western All-Star Fan Vote Selection,West,1972-1973
Rick Barry,PF,Golden State Warriors,Western All-Star Fan Vote Selection,West,1972-1973
Dave Bing,SG,Detroit Pistons,Western All-Star Coaches Selection,West,1972-1973
Wilt Chamberlain,C,Los Angeles Lakers,Western All-Star Coaches Selection,West,1972-1973
Bob Dandridge,SF,Milwaukee Bucks,Western All-Star Coaches Selection,West,1972-1973
Gail Goodrich,SG,Los Angeles Lakers,Western All-Star Coaches Selection,West,1972-1973
Connie Hawkins,PF,Phoenix Suns,Western All-Star Coaches Selection,West,1972-1973
Spencer Haywood,PF,Seattle Supersonics,Western All-Star Fan Vote Selection,West,1972-1973
Bob Lanier,C,Detroit Pistons,Western All-Star Coaches Selection,West,1972-1973
Bob Love,PF,Chicago Bulls,Western All-Star Coaches Selection,West,1972-1973
Charlie Scott,SG,Phoenix Suns,Western All-Star Coaches Selection,West,1972-1973
Nate Thurmond,PF,Golden State Warriors,Western All-Star Coaches Selection,West,1972-1973
Chet Walker,PF,Chicago Bulls,Western All-Star Coaches Selection,West,1972-1973
Jerry West,SG,Los Angeles Lakers,Western All-Star Fan Vote Selection,West,1972-1973
Sidney Wicks,PF,Portland Trail Blazers,Western All-Star Coaches Selection,West,1972-1973
Butch Beard,SG,Cleveland Cavaliers,Eastern All-Star Coaches Selection,East,1971-1972
Archie Clark,SG,Baltimore Bullets,Eastern All-Star Coaches Selection,East,1971-1972
Dave Cowens,PF,Boston Celtics,Eastern All-Star Fan Vote Selection,East,1971-1972
Billy Cunningham,PF,Philadelphia 76ers,Eastern All-Star Fan Vote Selection,East,1971-1972
Dave DeBusschere,PF,New York Knicks,Eastern All-Star Coaches Selection,East,1971-1972
Walt Frazier,PG,New York Knicks,Eastern All-Star Fan Vote Selection,East,1971-1972
John Havlicek,SF,Boston Celtics,Eastern All-Star Fan Vote Selection,East,1971-1972
Lou Hudson,SF,Atlanta Hawks,Eastern All-Star Fan Vote Selection,East,1971-1972
John Johnson,SF,Cleveland Cavaliers,Eastern All-Star Coaches Selection,East,1971-1972
