State,Player,HS City,HS Name,Years,From,To,Games,Career_Min_Played,Career_FG,Career_FGA,Career_3P,Career_3PA,Career_FT,Career_FTA,Career_ORB,Career_TRB,Career_AST,Career_STL,Career_BLK,Career_Turnovers,Career_Personal_Fouls,Career_Points,Career_FG%,Career_3P%,Career_FT%,Min_Played_PG,Points_PG,TRB_PG,AST_PG,
California,Craig Dykema,Lakewood,Lakewood,1,1982,1982,32,103,17,37,2,4,7,9,3,12,15,2,0,7,19,43,0.459,0.5,0.778,3.2,1.3,0.4,0.5,
California,Jim Eakins,Sacramento,Encina,10,1969,1978,767,19023,2900,5753,0,3,2455,3114,1914,5578,1345,192,450,1362,2295,8255,0.504,0,0.788,24.8,10.8,7.3,1.8,
California,Mark Eaton,Westminster,Westminster,11,1983,1993,875,25169,2072,4526,0,2,1072,1653,1857,6939,840,368,3064,1293,2955,5216,0.458,0,0.649,28.8,6,7.9,1,
California,Tyus Edney,Long Beach,Long Beach Polytechnic,4,1996,2001,226,4743,583,1438,65,202,497,617,122,393,910,217,6,395,387,1728,0.405,0.322,0.806,21,7.6,1.7,4,
California,Joe Ellis,Oakland,McClymonds,8,1967,1974,524,10374,1946,4884,,,731,1005,37,2686,716,33,9,,1397,4623,0.398,,0.727,19.8,8.8,5.1,1.4,
California,LeRon Ellis,Santa Ana,Mater Dei,3,1992,1996,91,857,110,254,0,0,57,93,87,220,29,25,37,35,105,277,0.433,,0.613,9.4,3,2.4,0.3,
California,Wayne Engelstad,Rosemead,Don Bosco Technical Institute,1,1989,1989,11,50,11,29,0,0,6,10,5,16,7,1,0,3,12,28,0.379,,0.6,4.5,2.5,1.5,0.6,
California,Keith Erickson,El Segundo,El Segundo,12,1966,1977,766,18841,3014,6926,,,1223,1591,306,3449,1991,222,45,,2081,7251,0.435,,0.769,24.6,9.5,4.5,2.6,
California,Festus Ezeli,Sacramento,Jesuit,3,2013,2016,170,2394,275,536,0,0,162,291,292,725,63,48,166,133,328,712,0.513,,0.557,14.1,4.2,4.3,0.4,
California,John Fairchild,Encinitas,San Dieguito,4,1966,1970,165,2277,414,1026,14,38,243,357,55,523,115,,,185,304,1085,0.404,0.368,0.681,13.8,6.6,3.2,0.7,
California,Jordan Farmar,Woodland Hills,Taft,10,2007,2017,504,9840,1460,3452,583,1559,385,521,161,958,1453,391,56,695,713,3888,0.423,0.374,0.739,19.5,7.7,1.9,2.9,
California,Mike Farmer,Richmond,Richmond,7,1959,1966,423,8818,1165,2965,,,486,597,,1950,550,,,,840,2816,0.393,,0.814,20.8,6.7,4.6,1.3,
California,Tony Farmer,Lakewood,Artesia,2,1998,2000,101,1368,144,365,10,53,234,304,134,327,79,76,20,91,190,532,0.395,0.189,0.77,13.5,5.3,3.2,0.8,
California,Bob Feerick,San Francisco,Lowell,4,1947,1950,221,,1077,2977,,,782,972,,,440,,,,592,2936,0.362,,0.805,,13.3,,2,
California,Noel Felix,Inglewood,Inglewood,1,2006,2006,12,82,6,25,1,3,5,8,3,13,2,2,3,8,13,18,0.24,0.333,0.625,6.8,1.5,1.1,0.2,
California,Eric Fernsten,Oakland,Skyline,6,1976,1984,218,1643,193,434,0,0,131,194,144,372,82,52,51,72,174,517,0.445,,0.675,7.5,2.4,1.7,0.4,
California,Kenny Fields,Los Angeles,Verbum Dei,4,1985,1988,184,2692,463,977,3,16,211,288,176,464,188,97,38,181,394,1140,0.474,0.188,0.733,14.6,6.2,2.5,1,
California,Landry Fields,Los Alamitos,Los Alamitos,5,2011,2015,255,6010,684,1446,120,361,243,365,248,1092,419,212,45,270,310,1731,0.473,0.332,0.666,23.6,6.8,4.3,1.6,
California,Isaac Fontaine,Sacramento,Jesuit,1,2002,2002,6,75,3,14,1,5,4,6,0,5,4,0,0,4,6,11,0.214,0.2,0.667,12.5,1.8,0.8,0.7,
California,Don Ford,Santa Barbara,Santa Barbara,7,1976,1982,474,9301,1313,2828,1,7,389,503,544,1691,647,274,139,296,1004,3016,0.464,0.143,0.773,19.6,6.4,3.6,1.4,
California,Greg Foster,Oakland,Skyline,13,1991,2003,656,7974,1047,2382,20,89,424,567,509,1691,351,94,194,465,1221,2538,0.44,0.225,0.748,12.2,3.9,2.6,0.5,
California,Tremaine Fowlkes,Los Angeles,Crenshaw,4,2002,2005,103,1233,105,257,4,20,87,110,94,228,54,47,6,50,146,301,0.409,0.2,0.791,12,2.9,2.2,0.5,
California,Anthony Frederick,Gardena,Gardena,3,1989,1992,147,1640,291,663,6,22,130,186,137,280,135,76,45,132,200,718,0.439,0.273,0.699,11.2,4.9,1.9,0.9,
California,Larry Friend,Los Angeles,Fairfax,1,1958,1958,44,569,74,226,,,27,41,,106,47,,,,54,175,0.327,,0.659,12.9,4,2.4,1.1,
California,Herm Fuetsch,San Francisco,Poly,1,1948,1948,42,,42,140,,,25,40,,,17,,,,39,109,0.3,,0.625,,2.6,,0.4,
California,Corey Gaines,Playa del Rey,Saint Bernard,5,1989,1995,80,1002,92,217,11,48,53,72,12,69,247,39,4,72,98,248,0.424,0.229,0.736,12.5,3.1,0.9,3.1,
California,Marlon Garnett,Los Angeles,Hamilton,1,1999,1999,24,205,15,51,6,23,15,20,3,21,18,5,1,12,18,51,0.294,0.261,0.75,8.5,2.1,0.9,0.8,
California,Dean Garrett,San Clemente,San Clemente,6,1997,2002,359,6969,722,1504,0,0,293,433,597,1810,204,168,372,203,687,1737,0.48,,0.677,19.4,4.8,5,0.6,
California,Reggie Geary,Santa Ana,Mater Dei,2,1997,1998,101,931,78,227,20,61,33,67,23,82,110,50,14,57,131,209,0.344,0.328,0.493,9.2,2.1,0.8,1.1,
California,Paul George,Palmdale,Knight,14,2011,2024,867,29182,6155,13983,2253,5859,3469,4063,726,5465,3191,1464,381,2317,2317,18032,0.44,0.385,0.854,33.7,20.8,6.3,3.7,
California,John Gianelli,Stockton,Edison,8,1973,1980,541,13650,1798,3823,0,0,614,875,967,3188,832,225,476,275,1270,4210,0.47,,0.702,25.2,7.8,5.9,1.5,
California,Taj Gibson,San Fernando,Calvary Christian,15,2010,2024,965,22660,3431,6633,54,205,1374,1927,2082,5607,925,521,946,1020,2371,8290,0.517,0.263,0.713,23.5,8.6,5.8,1,
California,Gene Gallette,San Francisco,Galileo,1,1947,1947,14,,1,11,,,6,9,,,2,,,,13,8,0.091,,0.667,,0.6,,0.1,
California,Normie Glick,Los Angeles,Manual Arts,1,1950,1950,1,,1,1,,,0,0,,,0,,,,1,2,1,,,,2,,0,
California,Drew Gooden,El Cerrito,El Cerrito,14,2003,2016,790,20127,3432,7435,88,342,1701,2239,1878,5618,896,544,474,1158,1957,8653,0.462,0.257,0.76,25.5,11,7.1,1.1,
